year,sex,age_group,stp,est_deaths
2019,female,12,E54000013,0.21000000000000002
2019,female,12,E54000014,0.392
2019,female,12,E54000015,0.29900000000000004
2019,female,12,E54000016,0.6444470348542591
2019,female,12,E54000017,0.4215529651457409
2019,female,12,E54000018,0.34700000000000003
2019,female,12,E54000019,0.222
2019,female,12,E54000020,0.26500844192753836
2019,female,12,Region,3.8230809735839384
2019,female,13,E54000010,0.41000000000000003
2019,female,13,E54000011,0.14500000000000002
2019,female,13,E54000012,0.423853332477755
2019,female,13,E54000013,0.225
2019,female,13,E54000014,0.321
2019,female,13,E54000015,0.629
2019,female,13,E54000016,0.4905943723664938
2019,female,13,E54000017,0.7104056276335061
2019,female,13,E54000018,0.48400000000000004
2019,female,13,E54000019,0.26
2019,female,13,E54000020,0.2556519020652197
2019,female,13,Region,4.354505234542975
2019,female,14,E54000010,0.41100000000000003
2019,female,14,E54000011,0.17
2019,female,14,E54000012,0.48438986567419584
2019,female,14,E54000013,0.29100000000000004
2019,female,14,E54000014,0.355
2019,female,14,E54000015,0.36
2019,female,14,E54000016,0.8297200083994531
2019,female,14,E54000017,0.8762799916005471
2019,female,14,E54000018,0.303
2019,female,14,E54000019,0.28600000000000003
2019,female,14,E54000020,0.3331170922717417
2019,female,14,Region,4.699506957945938
2019,female,15,E54000010,0.491
2019,female,15,E54000011,0.201
2019,female,15,E54000012,0.3885605321697468
2019,female,15,E54000013,0.272
2019,female,15,E54000014,0.49
2019,female,15,E54000015,0.657
2019,female,15,E54000016,1.0428002457360628
2019,female,15,E54000017,1.2121997542639373
2019,female,15,E54000018,0.404
2019,female,15,E54000019,0.326
2019,female,15,E54000020,0.32386920275362624
2019,female,15,Region,5.808429734923373
2019,female,16,E54000010,0.657
2019,female,16,E54000011,0.34400000000000003
2019,female,16,E54000012,0.5401210643394935
2019,female,16,E54000013,0.383
2019,female,16,E54000014,0.395
2019,female,16,E54000015,0.922
2019,female,16,E54000016,1.2548173743726443
2019,female,16,E54000017,0.5541826256273559
2019,female,16,E54000018,0.641
2019,female,16,E54000019,0.303
2019,female,16,E54000020,0.5153343929601483
2019,female,16,Region,6.509455457299642
2019,female,17,E54000010,0.562
2019,female,17,E54000011,0.5860000000000001
2019,female,17,E54000012,0.5672677318617386
2019,female,17,E54000013,0.504
2019,female,17,E54000014,0.789
2019,female,17,E54000015,0.551
2019,female,17,E54000016,1.4146382907460242
2019,female,17,E54000017,1.293361709253976
2019,female,17,E54000018,0.471
2019,female,17,E54000019,0.41100000000000003
2019,female,17,E54000020,0.3610865034420328
2019,female,17,Region,7.5103542353037716
2019,female,18,E54000010,0.8190000000000001
2019,female,18,E54000011,0.39100000000000007
2019,female,18,E54000012,0.8199749315537304
2019,female,18,E54000013,0.527
2019,female,18,E54000014,0.728
2019,female,18,E54000015,0.9680000000000001
2019,female,18,E54000016,1.3555767283089333
2019,female,18,E54000017,1.1004232716910667
2019,female,18,E54000018,0.808
2019,female,18,E54000019,0.686
2019,female,18,E54000020,0.6466603439927581
2019,female,18,Region,8.849635275546488
2019,female,19,E54000010,0.91
2019,female,19,E54000011,0.525
2019,female,19,E54000012,0.7078773314510609
2019,female,19,E54000013,0.684
2019,female,19,E54000014,0.93
2019,female,19,E54000015,0.919
2019,female,19,E54000016,1.2676559348035847
2019,female,19,E54000017,1.0323440651964155
2019,female,19,E54000018,0.7830000000000001
2019,female,19,E54000019,0.59
2019,female,19,E54000020,0.5627078166775437
2019,female,19,Region,8.911585148128605
2019,female,20,E54000010,0.907
2019,female,20,E54000011,0.49
2019,female,20,E54000012,0.6454618625941136
2019,female,20,E54000013,0.81
2019,female,20,E54000014,1.267
2019,female,20,E54000015,1.2779999999999998
2019,female,20,E54000016,1.2571307242966325
2019,female,20,E54000017,1.4248692757033674
2019,female,20,E54000018,0.924
2019,female,20,E54000019,0.637
2019,female,20,E54000020,0.6998470558514558
2019,female,20,Region,10.340308918445569
2019,female,21,E54000010,1.1640000000000001
2019,female,21,E54000011,0.6240000000000001
2019,female,21,E54000012,0.7139994652635182
2019,female,21,E54000013,0.789
2019,female,21,E54000014,1.3990000000000002
2019,female,21,E54000015,1.192
2019,female,21,E54000016,1.700800245736063
2019,female,21,E54000017,1.2241997542639373
2019,female,21,E54000018,1.177
2019,female,21,E54000019,0.9060000000000001
2019,female,21,E54000020,0.5233122460579778
2019,female,21,Region,11.413311711321496
2019,female,22,E54000010,1.122
2019,female,22,E54000011,0.496
2019,female,22,E54000012,0.9666090648528405
2019,female,22,E54000013,0.9610000000000001
2019,female,22,E54000014,1.435
2019,female,22,E54000015,1.161
2019,female,22,E54000016,1.6051796649937178
2019,female,22,E54000017,1.6298203350062823
2019,female,22,E54000018,1.224
2019,female,22,E54000019,0.8210000000000001
2019,female,22,E54000020,0.47969093282246694
2019,female,22,Region,11.901299997675308
2019,female,23,E54000010,1.239
2019,female,23,E54000011,0.526
2019,female,23,E54000012,0.9361455980492814
2019,female,23,E54000013,0.637
2019,female,23,E54000014,1.4180000000000001
2019,female,23,E54000015,1.3379999999999999
2019,female,23,E54000016,1.6464576608564665
2019,female,23,E54000017,1.3205423391435334
2019,female,23,E54000018,1.154
2019,female,23,E54000019,0.68
2019,female,23,E54000020,0.6596213132355109
2019,female,23,Region,11.554766911284792
2019,female,24,E54000010,1.278
2019,female,24,E54000011,0.799
2019,female,24,E54000012,0.8644138646475018
2019,female,24,E54000013,0.638
2019,female,24,E54000014,1.058
2019,female,24,E54000015,1.173
2019,female,24,E54000016,1.6856423481677392
2019,female,24,E54000017,1.8723576518322609
2019,female,24,E54000018,1.9410000000000003
2019,female,24,E54000019,0.7560000000000001
2019,female,24,E54000020,0.4776603439927581
2019,female,24,Region,12.543074208640261
2019,female,25,E54000010,1.036
2019,female,25,E54000011,0.343
2019,female,25,E54000012,1.3918527977412731
2019,female,25,E54000013,0.8670000000000001
2019,female,25,E54000014,1.3330000000000002
2019,female,25,E54000015,1.746
2019,female,25,E54000016,1.78540067126207
2019,female,25,E54000017,1.9505993287379302
2019,female,25,E54000018,1.077
2019,female,25,E54000019,0.902
2019,female,25,E54000020,0.8428386139239175
2019,female,25,Region,13.274691411665192
2019,female,26,E54000010,1.5020000000000002
2019,female,26,E54000011,0.5100000000000001
2019,female,26,E54000012,1.2827279902464066
